Date/Time of Report: 3/16/2025 16:22:34,,,,,,,,,
Requester: CSTN01-1 - Oper,,,,,,,,,
Filter Applied: Event Time: Live,,,,,,,,,
Sort Criteria: ,,,,,,,,,
Server: ESV-01B,,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units,
3/16/2025 7:31:51.700,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.200,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.200,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.100,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.100,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.700,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.700,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.200,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.200,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.100,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.700,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.700,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,KG/CM2G,
3/16/2025 7:31:51.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,KG/CM2G,
3/16/2025 7:31:51.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,%,
3/16/2025 7:31:51.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,KG/CM2G,
3/16/2025 7:31:51.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,SEC,
3/16/2025 7:31:51.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,M3/H,
3/16/2025 7:31:51.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,MIN,
3/16/2025 7:31:51.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,M3/H,
3/16/2025 7:31:51.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,MIN,
3/16/2025 7:31:51.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,M3/H,
3/16/2025 7:31:51.200,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,MIN,
3/16/2025 7:31:51.100,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,M3/H,
3/16/2025 7:31:51.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,MIN,
3/16/2025 7:31:51.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,M3/H,
3/16/2025 7:31:51.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,MIN,
3/16/2025 7:31:51.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,%,
3/16/2025 7:31:51.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,MIN,
3/16/2025 7:31:51.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,MIN,
3/16/2025 7:31:51.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,KG/CM2G,
3/16/2025 7:31:51.700,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,DegC,
3/16/2025 7:31:51.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,TON,
3/16/2025 7:31:51.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,TON,
3/16/2025 7:31:51.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,TON,
3/16/2025 7:31:51.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,TON,
3/16/2025 7:31:51.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,TON,
3/16/2025 7:31:51.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,TON,
3/16/2025 7:31:51.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.100,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.100,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,PPM,
3/16/2025 7:31:51.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,PPM,
3/16/2025 7:31:51.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,PPM,
3/16/2025 7:31:51.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,TON,
3/16/2025 7:31:51.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,PPM,
3/16/2025 7:31:51.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,PPM,
3/16/2025 7:31:51.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,PPM,
3/16/2025 7:31:51.700,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,PPM,
3/16/2025 7:31:51.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,PPM,
3/16/2025 7:31:51.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,PPM,
3/16/2025 7:31:51.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,PPM,
3/16/2025 7:31:51.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,PPM,
3/16/2025 7:31:51.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,TON,
3/16/2025 7:31:51.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,TON,
3/16/2025 7:31:51.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229a87e01-0006,1.#QNAN,,
3/16/2025 7:31:51.200,01,$ACTIVITY_330413F2352AB609,Start,,J 00,RCM;$330013f229a87e01-0006;$ACTIVITY_330013f229af7e21,CHILD,,
3/16/2025 7:31:50.700,01,$ACTIVITY_330413F2352AB609,Command,,J 00,RCM;$330013f229a87e01-0006,Start,,
3/16/2025 7:31:49.800,01,UP_RECOVERY,Start of Control,,J 00,OP_NASH2;$330513f255e12200-0015,Idle;1;1;1,,
3/16/2025 7:31:49.000,01,UP_RECOVERY,Acquire,,J 00,OP_NASH2;$330513f255e12200-0015,SYSTEM:MASTERRECIPE;1,,
3/16/2025 7:31:48.500,01,UP_RECOVERY,Release,,J 00,OP_NASH1;$330513f255e12200-0015,SYSTEM:MASTERRECIPE;1,,
3/16/2025 7:31:48.500,01,UP_RECOVERY,End of Control,,J 00,OP_NASH1;$330513f255e12200-0015,Idle;1;1;1,,
3/16/2025 7:31:48.700,01,OP_NASH1,RecipeRemoval,,J 00,OP_NASH1;$330013f229a87e01-0005,,,
3/16/2025 7:31:48.600,01,OP_NASH1,State Change,,J 00,RCM;$330013f229a87e01-0005,Idle,,
3/16/2025 7:31:47.100,01,OP_NASH1,Command,,J 00,RCM;$330013f229a87e01-0005,Reset,,
3/16/2025 7:31:47.100,01,OP_NASH1,End,,J 00,RCM;$330013f229a87e01-0005,,,
3/16/2025 7:31:47.000,01,OP_NASH1,State Change,,J 00,RCM;$330013f229a87e01-0005,Complete,,
3/16/2025 7:31:47.700,01,OP_NASH1,Phase State Change,,J 00,NASH1;$330013f229a87e01-0005,ActiveComplt,,
3/16/2025 7:31:47.700,01,OP_NASH1,Phase End,,J 00,NASH1;$330013f229a87e01-0005,1,,
3/16/2025 7:31:47.600,01,OP_NASH1,Release,,J 00,NASH1;$330013f229a87e01-0005,SYSTEM:SCM;1,,
3/16/2025 7:31:47.400,01,OP_NASH1,End of Control,,J 00,NASH1;$330013f229a87e01-0005,Idle;1;1;1,,
3/16/2025 7:31:46.300,1400,NASH1,State Change,,J 00,SCM,Idle,,
3/16/2025 7:31:46.700,01,OP_NASH1,Phase State Change,,J 00,NASH1;$330013f229a87e01-0005,ProcReset,,
3/16/2025 7:31:45.600,1400,NASH1,End,,J 00,SCM,,,
3/16/2025 7:31:45.500,1400,NASH1,State Change,,J 00,SCM,Complete,,
3/16/2025 7:31:45.600,01,EIP0402R,OFFNRM,,J 00,BPO036 REPORT REQUEST,ON,,
3/16/2025 7:29:29.000,1200,TIC1203,PVLOW,OK,L 00,HE1203 D/S TEMP,80.5136413574219,C,
3/16/2025 7:28:11.000,1200,TIC1203,PVLOLO,OK,H 00,HE1203 D/S TEMP,79.528076171875,C,
3/16/2025 7:28:02.800,1900,FT1901B,BAD PV,OK,J 00,STEAM HEADER FROM BOILER,6249.35138008118,kg/h,
3/16/2025 7:27:12.800,1900,FT1901B,BAD PV,,J 00,STEAM HEADER FROM BOILER,1.#QNAN,kg/h,
3/16/2025 7:26:33.500,01,EVENT_SCM1,ChOfSt,,J 00,CH18FEED_A_T1,ON,,
3/16/2025 7:26:33.500,01,EVENT_SCM1,ChOfSt,,J 00,POLYINIT_A_T1,ON,,
3/16/2025 7:26:32.600,1100,CATWASH_B,State Change,,J 00,SCM,Idle,,
3/16/2025 7:26:32.700,01,EVENT_SCM1B,ChOfSt,,J 00,CATWASH_A_T1,ON,,
3/16/2025 7:26:32.100,01,EVENT_SCM1A,ChOfSt,,J 00,PWFEED_A_T1,ON,,
3/16/2025 7:26:32.200,01,EVENT_SCM1A,ChOfSt,,J 00,VCMFEED_A_T1,ON,,
3/16/2025 7:26:32.600,01,EVENT_SCM1A,ChOfSt,,J 00,HEATUP_A_T1,ON,,
3/16/2025 7:26:32.200,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,,
3/16/2025 7:26:32.300,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,,
3/16/2025 7:26:32.500,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,,
3/16/2025 7:26:32.900,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,,
3/16/2025 7:26:32.800,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,,
3/16/2025 7:26:32.900,01,EVENT_SCM1,ChOfSt,,J 00,AVCHK_A_T1,ON,,
3/16/2025 7:26:32.000,01,EVENT_SCM1,ChOfSt,,J 00,AG1FEED_A_T1,ON,,
3/16/2025 7:26:32.400,01,EVENT_SCM1,ChOfSt,,J 00,AG2FEED_A_T1,ON,,
3/16/2025 7:26:32.600,01,EVENT_SCM1,ChOfSt,,J 00,AG3FEED_A_T1,ON,,
3/16/2025 7:26:32.800,01,EVENT_SCM1,ChOfSt,,J 00,AFCOAT_A_T1,ON,,
3/16/2025 7:26:32.800,01,EVENT_SCM1,ChOfSt,,J 00,POLYCHK_A_T1,ON,,
3/16/2025 7:26:32.800,01,EVENT_SCM1,ChOfSt,,J 00,AVPW_A_T1,ON,,
3/16/2025 7:26:32.900,01,EVENT_SCM1,ChOfSt,,J 00,AIRTOVCM_A_T1,ON,,
3/16/2025 7:26:31.800,1100,CATWASH_B,End,,J 00,SCM,,,
3/16/2025 7:26:31.700,1100,CATWASH_B,State Change,,J 00,SCM,Complete,,
3/16/2025 7:26:31.100,01,EIP0317R,OFFNRM,,J 00,BPO018 B REPORT REQUEST,ON,,
3/16/2025 7:26:31.700,01,EVENT_SCM1,ChOfSt,,J 00,RDYINIT_T1,ON,,
3/16/2025 7:26:30.630,1300,ALMMNG2,OFFNRM,ACK,,TIC1301B DEV LO Alarm,,,
3/16/2025 7:26:27.319,1800,FIC1801,PVLOW,ACK,,HE1803 INLET,,,
3/16/2025 7:26:25.382,1800,LIC1802,PVLOW,ACK,,VE1802,,,
3/16/2025 7:26:23.142,1200,TIC1203,PVLOW,ACK,,HE1203 D/S TEMP,,,
3/16/2025 7:26:19.596,1200,TIC1203,PVLOLO,ACK,,HE1203 D/S TEMP,,,
3/16/2025 7:26:04.600,1200,TIC1203,PVLOLO,,H 00,HE1203 D/S TEMP,69.5212097167969,C,
3/16/2025 7:26:01.600,1200,TIC1203,PVLOW,,L 00,HE1203 D/S TEMP,68.810546875,C,
3/16/2025 7:23:52.414,1200,TIC1203,CHANGE,,,pida.mode,AUTO,,
3/16/2025 7:23:15.200,1300,ALMMNG2,OFFNRM,OK,L 00,TIC1301B DEV LO Alarm,OFF,,
3/16/2025 7:23:15.200,1300,TIC1301B,DEVLOW,OK,J 00,RE1301B,-0.499725013745994,DegC,
3/16/2025 7:23:11.500,1500,PI1513,PVLOW,OK,L 00,DR1501 INSIDE,380.128974914551,mmH2O,
3/16/2025 7:21:58.300,1800,LIC1802,PVLOW,,L 00,VE1802,9.97730445861816E-02,m,
3/16/2025 7:21:37.500,1800,FIC1801,PVLOW,,L 00,HE1803 INLET,0.349515080451965,m3/h,
3/16/2025 7:21:32.700,1300,QR1301B,BAD PV,OK,J 00,RE1301B QJ+QC,11828.2799943504,Mcal,
3/16/2025 7:21:05.200,1300,QR1301B,BAD PV,,J 00,RE1301B QJ+QC,1.#QNAN,Mcal,
3/16/2025 7:19:58.700,1800,FIC1801,PVLOW,OK,L 00,HE1803 INLET,1.15485687255859,m3/h,
3/16/2025 7:19:57.400,1900,FI1901B,BAD PV,OK,J 00,STEAM HEADER FROM BOILER,7526.3751109314,kg/h,
3/16/2025 7:19:27.400,1900,FT1901B,BAD PV,OK,J 00,STEAM HEADER FROM BOILER,7651.9867956543,kg/h,
3/16/2025 7:19:26.700,01,EIP0320R,OFFNRM,,J 00,BPO021 B REPORT REQUEST,ON,,
3/16/2025 7:19:22.100,01,EVENT_SCM2A,ChOfSt,,J 00,INERT_B_T1,ON,,
3/16/2025 7:19:22.500,01,EIP0319R,OFFNRM,,J 00,BPO020 B REPORT REQUEST,ON,,
3/16/2025 7:19:10.000,1300,ALMMNG2,OFFNRM,,L 00,TIC1301B DEV LO Alarm,ON,,
3/16/2025 7:19:01.300,1500,TI1516,PVHIGH,OK,L 00,DR1501 INSIDE,66.4916381835938,DegC,
3/16/2025 7:18:56.758,1200,TIC1203,CHANGE,,,pida.op,14.2557840983048,%,
3/16/2025 7:18:56.957,1200,TIC1203,CHANGE,,,pida.op,24.2557840983048,%,
3/16/2025 7:18:56.130,1200,TIC1203,CHANGE,,,pida.op,34.2557840983048,%,
3/16/2025 7:18:55.394,1200,TIC1203,CHANGE,,,pida.op,44.2557840983048,%,
3/16/2025 7:18:54.397,1200,TIC1203,CHANGE,,,pida.op,54.2557840983048,%,
3/16/2025 7:18:54.900,1300,TIC1301B,DEVLOW,,J 00,RE1301B,-1.09021274911925,DegC,
3/16/2025 7:18:52.466,1200,TIC1203,CHANGE,,,pida.mode,MAN,,
3/16/2025 7:18:37.400,1900,FT1901B,BAD PV,,J 00,STEAM HEADER FROM BOILER,1.#QNAN,kg/h,
3/16/2025 7:18:01.500,1300,TIC1301B_DEV,OFFNRM,OK,J 00,TIC1301B DEVIATION HIGH,OFF,,
3/16/2025 7:18:00.700,1300,TIC1301B,DEVHI,OK,L 00,RE1301B,-0.163986899230743,DegC,
3/16/2025 7:17:49.800,01,EIP0318R,OFFNRM,,J 00,BPO019 B REPORT REQUEST,ON,,
3/16/2025 7:17:42.582,1200,PI1214,PVLOW,ACK,,PU1206A,B DELIVERY,,,
3/16/2025 7:15:44.500,1200,PI1214,PVLOW,OK,L 00,PU1206A,B DELIVERY,9.70426712036133,kg/cm2G,
3/16/2025 7:13:24.000,1200,PI1214,PVLOW,,L 00,PU1206A,B DELIVERY,9.40232162475586,kg/cm2G,
3/16/2025 7:11:55.855,1500,TI1518,PVHIGH,ACK,,DR1501 INSIDE,,,
3/16/2025 7:11:48.700,1500,TI1518,PVHIGH,,L 00,DR1501 INSIDE,64.5082702636719,DegC,
3/16/2025 7:10:21.429,1800,FIC1801,PVLOW,ACK,,HE1803 INLET,,,
3/16/2025 7:10:18.800,1800,FIC1801,PVLOW,,L 00,HE1803 INLET,0.275455117225647,m3/h,
3/16/2025 7:09:43.147,1500,TI1516,ALARM,ACK PNT,,DR1501 INSIDE,,,
3/16/2025 7:09:43.147,1500,TI1516,PVHIGH,ACK,,DR1501 INSIDE,,,
3/16/2025 7:09:31.800,1500,TI1516,PVHIGH,,L 00,DR1501 INSIDE,68.0165100097656,DegC,
3/16/2025 7:08:55.500,1900,FT1901B,BAD PV,OK,J 00,STEAM HEADER FROM BOILER,8508.57840545654,kg/h,
3/16/2025 7:08:34.300,1800,FIC1801,PVLOW,OK,L 00,HE1803 INLET,1.17779169082642,m3/h,
3/16/2025 7:06:58.800,1700,TI1701,PVHIGH,OK,L 00,RF1701 DELIVERY,7.99679565429688,DegC,
3/16/2025 7:06:31.400,1300,CH20FD_B,State Change,,J 00,SCM,Idle,,
3/16/2025 7:06:31.700,01,EIP0322R,OFFNRM,,J 00,BPO023 B REPORT REQUEST,ON,,
3/16/2025 7:06:30.200,1300,CH20FD_B,End,,J 00,SCM,,,
3/16/2025 7:06:30.100,1300,CH20FD_B,State Change,,J 00,SCM,Complete,,
3/16/2025 7:06:25.000,1300,CH20FD_B,State Change,,J 00,SCM,Running,,
3/16/2025 7:06:25.600,1300,CH20FD_B,Start,,J 00,SCM,,,
3/16/2025 7:06:25.600,1300,WPLAN_B,State Change,,J 00,SCM,Running,,
3/16/2025 7:06:25.600,1300,WPLAN_B,Start,,J 00,SCM,,,
3/16/2025 7:06:24.200,1300,INERT_B,State Change,,J 00,SCM,Running,,
3/16/2025 7:06:24.800,1300,INERT_B,Start,,J 00,SCM,CHILD,,
3/16/2025 7:06:24.000,1300,POLY_B,State Change,,J 00,SCM,Running,,
3/16/2025 7:06:24.400,1300,POLY_B,Start,,J 00,SCM,CHILD,,
3/16/2025 7:06:24.700,01,OP_SUPER_B,Start of Control,,J 00,POLY_B;$330013f229a87e09-0005;POLY_B,Idle;1;1;1,,
3/16/2025 7:06:24.000,01,OP_SUPER_B,Acquire,,J 00,POLY_B;$330013f229a87e09-0005,SYSTEM:SCM;1,,
3/16/2025 7:06:24.400,01,OP_SUPER_B,Start of Control,,J 00,INERT_B;$330013f229a87e09-0005;INERT_B,Idle;1;1;1,,
3/16/2025 7:06:24.300,01,OP_SUPER_B,Acquire,,J 00,INERT_B;$330013f229a87e09-0005,SYSTEM:SCM;1,,
3/16/2025 7:06:23.800,01,OP_SUPER_B,Release,,J 00,PWFEED_B;$330013f229a87e09-0005,SYSTEM:SCM;1,,
3/16/2025 7:06:23.500,01,OP_SUPER_B,End of Control,,J 00,PWFEED_B;$330013f229a87e09-0005,Idle;1;1;1,,
3/16/2025 7:06:22.800,1100,PWFEED_B,State Change,,J 00,SCM,Idle,,
3/16/2025 7:06:21.800,1100,PWFEED_B,End,,J 00,SCM,,,
3/16/2025 7:06:21.800,1100,PWFEED_B,State Change,,J 00,SCM,Complete,,
3/16/2025 7:06:17.352,1800,FIC1801,PVLOW,ACK,,HE1803 INLET,,,
3/16/2025 7:06:11.900,1800,FIC1801,PVLOW,,L 00,HE1803 INLET,0.184433162212372,m3/h,
3/16/2025 7:06:11.900,01,OP_SUPER_B,Release,,J 00,VCMFEED_B;$330013f229a87e09-0005,SYSTEM:SCM;1,,
3/16/2025 7:06:11.500,01,OP_SUPER_B,End of Control,,J 00,VCMFEED_B;$330013f229a87e09-0005,Idle;1;1;1,,
3/16/2025 7:06:10.900,1100,VCMFEED_B,State Change,,J 00,SCM,Idle,,
3/16/2025 7:06:09.100,1100,VCMFEED_B,End,,J 00,SCM,,,
3/16/2025 7:06:09.900,1100,VCMFEED_B,State Change,,J 00,SCM,Complete,,
3/16/2025 7:05:59.000,1200,PI1280,PVLOW,,J 00,PU1203B DISCHARGE PRESS,6.21573516845703,kg/cm2G,
3/16/2025 7:05:17.200,01,EVENT_SCM1B,OFFNRM,OK,J 00,,OFF,,
3/16/2025 7:05:17.300,01,EVENT_SCM1B,OFFNRM,OK,J 00,,OFF,,
3/16/2025 7:04:51.600,01,OP_SUPER_B,Release,,J 00,HEATUP_B;$330013f229a87e09-0005,SYSTEM:SCM;1,,
3/16/2025 7:04:51.300,01,OP_SUPER_B,End of Control,,J 00,HEATUP_B;$330013f229a87e09-0005,Idle;1;1;1,,
3/16/2025 7:04:50.300,1300,HEATUP_B,State Change,,J 00,SCM,Idle,,
3/16/2025 7:04:49.400,1300,HEATUP_B,End,,J 00,SCM,,,
3/16/2025 7:04:49.300,1300,HEATUP_B,State Change,,J 00,SCM,Complete,,
3/16/2025 7:04:48.300,01,EIP0314R,OFFNRM,,J 00,BPO015 B REPORT REQUEST,ON,,
3/16/2025 7:04:31.600,1800,FIC1801,PVLOW,OK,L 00,HE1803 INLET,1.267857837677,m3/h,
